Palavra, N
the,33317
project,822
gutenberg,865
ebook,119
of,24686
clarissa,891
volume,191
by,5209
samuel,28
richardson,28
this,6755
is,8108
for,10661
use,332
anyone,45
anywhere,18
in,14959
united,111
states,138
and,28060
most,996
other,1539
parts,124
world,671
at,4638
no,2768
cost,73
with,8323
almost,161
restrictions,30
whatsoever,23
you,14735
may,2633
copy,246
it,11567
give,1468
away,521
or,4139
re,103
under,465
terms,370
license,213
included,36
online,36
www,80
org,129
if,5544
are,3102
not,11134
located,42
will,6918
have,9697
to,39570
check,42
laws,93
country,119
where,700
before,1316
using,51
title,69
author,59
release,26
date,62
september,4
recently,2
updated,15
october,5
language,47
english,50
produced,48
julie,16
c,112
sparks,16
david,12
widger,2
start,44
harlowe,1276
history,71
a,17993
young,615
lady,1875
nine,47
volumes,11
i,29715
comprehending,1
important,51
concerns,48
private,152
life,772
particularly,157
shewing,6
distresses,45
that,15924
attend,225
misconduct,3
both,789
parents,213
children,109
relation,149
marriage,219
preface,8
following,138
given,718
series,11
letters,546
written,405
principally,24
double,90
yet,1781
separate,33
correspondence,145
between,586
two,826
ladies,313
virtue,290
honor,3
bearing,17
an,3053
inviolable,12
friendship,154
each,320
writing,311
merely,31
amusement,18
but,8213
upon,4027
interesting,29
subjects,80
which,3648
every,1527
family,1002
more,2703
less,420
find,643
itself,149
concerned,183
gentlemen,87
free,233
lives,65
one,3282
them,2666
glorying,5
his,6246
talents,78
stratagem,16
invention,33
communicating,19
confidence,143
all,5063
secret,95
purposes,57
intriguing,10
head,424
resolute,13
heart,1304
here,672
be,11795
proper,191
observe,134
sake,419
such,2539
as,11801
apprehend,70
hurt,53
morals,87
youth,66
from,4210
freely,89
though,706
professed,8
libertines,38
female,68
sex,508
making,186
their,2222
wicked,199
maxims,6
keep,351
faith,43
any,2472
individuals,8
who,2840
thrown,104
into,1541
power,525
however,506
either,604
infidels,1
scoffers,4
nor,902
think,2088
themselves,347
freed,17
observance,7
those,891
moral,33
duties,24
bind,20
man,2614
on,3107
contrary,127
found,478
progress,31
work,530
they,3350
very,2151
often,393
make,1677
reflections,169
himself,759
own,2402
actions,105
reasonable,47
beings,9
must,2385
disbelieve,6
future,242
state,242
rewards,10
punishments,9
day,684
propose,82
reform,37
actually,149
reforming,11
means,257
giving,147
opportunity,268
censure,68
freedoms,60
fall,139
gayer,3
pen,209
lighter,12
although,401
unbosoming,1
select,8
friend,917
he,8060
discovers,4
wickedness,64
enough,457
entitle,24
him,4394
general,204
detestation,4
preserves,2
decency,22
well,1534
images,6
always,532
works,330
some,1257
celebrated,19
modern,23
writers,19
whose,348
characters,61
warranted,14
liberties,61
taken,505
presumed,39
only,1291
highest,68
exercise,21
practicable,3
minds,80
endowed,1
noblest,11
principles,57
religion,30
occasionally,35
interspersed,1
delicacy,81
sentiments,52
regard,220
instances,86
impartiality,5
fundamental,1
principle,51
blaming,8
praising,7
setting,63
right,394
strongly,23
recommended,18
observation,72
younger,25
part,559
specially,1
readers,12
these,1095
proposed,130
exemplar,2
her,13397
objection,63
being,829
so,6028
she,9256
respects,39
perfect,72
character,410
was,6183
natural,168
necessary,204
should,2585
faults,95
were,2420
show,192
reader,38
how,1975
laudably,4
could,2192
mistrust,20
blame,128
herself,793
carry,201
divested,4
self,177
partiality,18
arose,34
convictions,4
even,621
acquittal,5
because,482
revered,9
whom,787
else,290
would,4481
acquit,35
much,1727
greater,232
errors,50
