Palavra, N
clarissa,891
this,6755
is,8108
anyone,45
states,138
included,36
will,6918
have,9697
check,42
using,51
recently,2
october,5
sparks,16
david,12
important,51
attend,225
marriage,219
honor,3
upon,4027
them,2666
communicating,19
here,672
sake,419
their,2222
individuals,8
found,478
often,393
own,2402
rewards,10
although,401
select,8
images,6
whose,348
only,1291
delicacy,81
blaming,8
she,9256
even,621
been,2418
carried,192
trial,125
among,180
men,429
women,523
entertain,17
warn,9
instantaneous,2
hidden,4
surmounted,11
likely,123
greatly,118
thoughtless,10
article,52
best,392
expected,211
whatever,150
beauty,103
admirer,21
arabella,75
favoured,56
sadleir,16
pedantic,4
confidant,9
lodging,38
london,158
polly,62
ii,63
grounds,17
preventing,8
preamble,10
symmes,11
forbid,82
body,581
laid,156
x,30
xii,30
proposal,101
goes,49
down,827
afflicted,46
xx,41
leaves,26
xxii,21
refused,96
disgracefully,10
writes,83
impute,33
xxx,27
passions,86
get,343
prudent,49
likelihood,21
mischief,164
xxxii,25
uncles,208
directs,4
come,885
puts,43
vicious,9
boy,29
prospect,33
order,369
engages,11
after,865
imputed,26
now,2124
silks,10
entreats,4
comply,150
adorning,3
envy,53
aunt,288
accompanied,35
my,14932
merits,40
learn,36
me,11039
treatment,171
health,170
unskilfulness,1
arm,50
imperiousness,1
steady,20
useful,39
glaring,5
deserved,146
apprehensive,92
information,101
passed,274
draw,72
answerable,32
short,287
submit,44
stranger,44
oppress,6
hints,64
lest,104
we,1902
since,755
transaction,8
brief,40
devise,6
possession,80
presumptive,4
married,237
fault,277
hereafter,50
ourselves,90
impudent,21
thinking,79
twice,77
agreeable,130
confusion,69
mistress,127
flirts,4
unseasonable,7
mistaken,46
extraordinary,72
declared,113
lips,109
shy,16
bring,273
worse,222
improve,16
encouraging,22
wit,122
consenting,11
reproaching,15
acting,36
severe,112
compel,17
vexed,47
offer,204
wanting,51
vain,89
thousand,100
girl,245
pretensions,17
score,43
suspend,32
compliment,71
debts,8
asked,182
unused,4
accomplishments,6
accounted,31
indifference,43
motive,68
visited,29
commended,3
amusements,15
knack,8
describing,8
shewed,24
reading,103
attributed,18
imagine,120
visible,51
coolness,5
intending,37
hesitation,15
returning,57
surprising,36
bear,405
antagonist,6
gentleness,48
pleasures,21
closet,68
excepted,27
chose,44
pretty,227
six,114
chiefly,11
parted,33
burst,45
chafing,1
boar,3
peace,107
followed,83
terror,70
depart,14
fast,53
party,52
excusing,6
parties,19
expense,48
new,383
redoubled,5
mines,2
grandson,3
bestow,9
conformable,2
bedside,3
disorder,43
unawares,6
beginnings,3
indulgent,47
independence,27
appearance,133
blessings,30
